RecordNumber,Zipcode,City,State
45289,93441,LOS OLIVOS,CA
45290,93249,LOST HILLS,CA
45291,93250,MC FARLAND,CA
45292,93251,MC KITTRICK,CA
45293,93546,MAMMOTH LAKES,CA
45294,93546,CROWLEY LAKE,CA
45295,93546,TOMS PLACE,CA
45296,93546,LAKE MARY,CA
45297,93252,MARICOPA,CA
45298,93501,MOJAVE,CA
45299,93501,FREMONT VALLEY,CA
45300,93502,MOJAVE,CA
45301,93504,CALIFORNIA CITY,CA
45302,93504,CALIF CITY,CA
45303,93505,CALIFORNIA CITY,CA
45304,93505,CALIF CITY,CA
45305,93519,CANTIL,CA
45306,93519,MOJAVE,CA
45307,91016,MONROVIA,CA
45308,91017,MONROVIA,CA
45309,91020,MONTROSE,CA
45310,91021,MONTROSE,CA
45311,93020,MOORPARK,CA
45312,93021,MOORPARK,CA
45313,93442,MORRO BAY,CA
45314,93443,MORRO BAY,CA
45315,93254,NEW CUYAMA,CA
45316,93254,CUYAMA,CA
45317,93444,NIPOMO,CA
45318,91601,NORTH HOLLYWOOD,CA
45319,91601,N HOLLYWOOD,CA
45320,91601,TOLUCA TER,CA
45321,91601,TOLUCA TERRACE,CA
45322,91601,VALLEY VILLAGE,CA
45323,91601,VALLEY VLG,CA
45324,91602,NORTH HOLLYWOOD,CA
45325,91602,N HOLLYWOOD,CA
45326,91602,STUDIO CITY,CA
45327,91602,TOLUCA LAKE,CA
45328,91602,W TOLUCA LAKE,CA
45329,91602,WEST TOLUCA LAKE,CA
45330,91603,NORTH HOLLYWOOD,CA
45331,91603,N HOLLYWOOD,CA
45332,91604,STUDIO CITY,CA
45333,91604,N HOLLYWOOD,CA
45334,91604,NORTH HOLLYWOOD,CA
45335,91605,NORTH HOLLYWOOD,CA
45336,91605,N HOLLYWOOD,CA
45337,91606,NORTH HOLLYWOOD,CA
45338,91606,N HOLLYWOOD,CA
45339,91606,VALLEY GLEN,CA
45340,91606,VAN NUYS,CA
45341,91607,VALLEY VILLAGE,CA
45342,91607,N HOLLYWOOD,CA
45343,91607,NORTH HOLLYWOOD,CA
45344,91607,SHERMAN VILLAGE,CA
45345,91607,SHERMAN VLG,CA
45346,91607,STUDIO CITY,CA
45347,91607,VALLEY VLG,CA
45348,91608,UNIVERSAL CITY,CA
45349,91608,N HOLLYWOOD,CA
45350,91608,NORTH HOLLYWOOD,CA
45351,91608,UNIVERSAL CTY,CA
45352,91609,NORTH HOLLYWOOD,CA
45353,91609,N HOLLYWOOD,CA
45354,91610,TOLUCA LAKE,CA
45355,91610,N HOLLYWOOD,CA
45356,91610,NORTH HOLLYWOOD,CA
45357,91611,NORTH HOLLYWOOD,CA
45358,91611,N HOLLYWOOD,CA
45359,91611,US PURCHASING EXCHANGE,CA
45360,91612,NORTH HOLLYWOOD,CA
45361,91612,N HOLLYWOOD,CA
45362,91612,US PURCHASING EXCHANGE,CA
45363,91614,STUDIO CITY,CA
45364,91614,N HOLLYWOOD,CA
45365,91614,NORTH HOLLYWOOD,CA
45366,91615,NORTH HOLLYWOOD,CA
45367,91615,N HOLLYWOOD,CA
45368,91616,NORTH HOLLYWOOD,CA
45369,91616,N HOLLYWOOD,CA
45370,91617,VALLEY VILLAGE,CA
45371,91617,N HOLLYWOOD,CA
45372,91617,NORTH HOLLYWOOD,CA
45373,91617,VALLEY VLG,CA
45374,91618,NORTH HOLLYWOOD,CA
45375,91618,N HOLLYWOOD,CA
45376,91618,UNIVERSAL CTY,CA
45377,91324,NORTHRIDGE,CA
45378,91325,NORTHRIDGE,CA
45379,91326,PORTER RANCH,CA
45380,91326,NORTHRIDGE,CA
45381,91327,NORTHRIDGE,CA
45382,91327,PORTER RANCH,CA
45383,91328,NORTHRIDGE,CA
45384,91329,NORTHRIDGE,CA
45385,91329,J B LANSING CO,CA
45386,91330,NORTHRIDGE,CA
45387,91330,CALIFORNIA STATE UNIVERSITY,CA
45388,93022,OAK VIEW,CA
45389,93445,OCEANO,CA
45390,93475,OCEANO,CA
45391,93023,OJAI,CA
45392,93023,MEINERS OAKS,CA
45393,93024,OJAI,CA
45394,93549,OLANCHA,CA
45395,93549,CARTAGO,CA
45396,93255,ONYX,CA
45397,93030,OXNARD,CA
45398,93031,OXNARD,CA
45399,93032,OXNARD,CA
45400,93033,OXNARD,CA
45401,93034,OXNARD,CA
45402,93035,OXNARD,CA
45403,93036,OXNARD,CA
45404,91331,PACOIMA,CA
45405,91331,ARLETA,CA
45406,91331,HANSEN HILLS,CA
45407,91331,LAKEVIEW TERRACE,CA
45408,91331,LOS ANGELES,CA
45409,91333,PACOIMA,CA
45410,91334,PACOIMA,CA
45411,91334,ARLETA,CA
45412,93550,PALMDALE,CA
45413,93550,LAKE LA,CA
45414,93550,LAKE LOS ANGELES,CA
45415,93551,PALMDALE,CA
45416,93551,CITY RANCH,CA
45417,93551,LEONA VALLEY,CA
45418,93551,QUARTZ HILL,CA
45419,93551,LANCASTER,CA
45420,93552,PALMDALE,CA
45421,93590,PALMDALE,CA
45422,93591,PALMDALE,CA
45423,93591,LAKE LA,CA
45424,93591,LAKE LOS ANGELES,CA
45425,93599,PALMDALE,CA
45426,93599,LOCKHEED ADVANCED DEV CO,CA
45427,91101,PASADENA,CA
45428,91102,PASADENA,CA
45429,91103,PASADENA,CA
45430,91104,PASADENA,CA
45431,91105,PASADENA,CA
45432,91106,PASADENA,CA
45433,91107,PASADENA,CA
45434,91108,SAN MARINO,CA
45435,91108,PASADENA,CA
45436,91109,PASADENA,CA
45437,91110,PASADENA,CA
45438,91110,SHARED FIRM ZIP CODE,CA
45439,91114,PASADENA,CA
45440,91115,PASADENA,CA
45441,91116,PASADENA,CA
45442,91117,PASADENA,CA
45443,91118,SAN MARINO,CA
45444,91118,PASADENA,CA
45445,91121,PASADENA,CA
45446,91121,AVON PRODUCTS,CA
45447,91123,PASADENA,CA
45448,91123,AMBASSADOR COLLEGE,CA
45449,91124,PASADENA,CA
45450,91124,RALPH M PARSONS CO,CA
45451,91125,PASADENA,CA
45452,91125,CAL TECH,CA
45453,91126,PASADENA,CA
45454,91126,CAL TECH,CA
45455,91129,PASADENA,CA
45456,91129,AMBASSADOR I C FOUNDATION,CA
45457,91182,PASADENA,CA
45458,91182,FULLER THEOLOGICAL SEMINARY,CA
45459,91184,PASADENA,CA
45460,91184,TOURNAMENT OF ROSES ASSOC,CA
45461,91185,PASADENA,CA
45462,91185,MELLON REGIONAL LOCKBOX NETW,CA
45463,91188,PASADENA,CA
45464,91188,KAISER FOUNDATION HEALTH,CA
45465,91189,PASADENA,CA
45466,91189,J P MORGAN,CA
45467,91199,PASADENA,CA
45468,91199,CITY NATIONAL BANK,CA
45469,93446,PASO ROBLES,CA
45470,93446,ADELAIDE,CA
45471,93446,HERITAGE RANCH,CA
45472,93446,HERITAGE RNCH,CA
45473,93446,LAKE NACIMIENTO,CA
45474,93446,NACIMIENTO LAKE,CA
45475,93447,PASO ROBLES,CA
45476,93553,PEARBLOSSOM,CA
45477,93553,JUNIPER HILLS,CA
45478,93563,VALYERMO,CA
45479,93563,PEARBLOSSOM,CA
45480,93040,PIRU,CA
45481,93448,PISMO BEACH,CA
45482,93448,SHELL BEACH,CA
45483,93449,PISMO BEACH,CA
45484,93449,SHELL BEACH,CA
45485,93256,PIXLEY,CA
45486,93257,PORTERVILLE,CA
45487,93257,POPLAR,CA
45488,93257,WOODVILLE,CA
45489,93258,PORTERVILLE,CA
45490,93041,PORT HUENEME,CA
45491,93041,POINT MUGU NAWC,CA
45492,93041,PT MUGU NAWC,CA
45493,93041,NAVAL BASE VENTURA COUNTY,CA
45494,93042,POINT MUGU NAWC,CA
45495,93042,PORT HUENEME,CA
45496,93042,PT MUGU NAWC,CA
45497,93042,NAVAL AIR WARFARE CTR,CA
45498,93042,NAVAL BASE VENTURA COUNTY,CA
45499,93043,PORT HUENEME CBC BASE,CA
45500,93043,PORT HUENEME,CA
45501,93043,PRT HUENEME,CA
45502,93043,NAVAL BASE VENTURA COUNTY,CA
45503,93043,PORT HUENEME NAVAL CONSTRUCT,CA
45504,93044,PORT HUENEME,CA
45505,93044,NAVAL BASE VENTURA COUNTY,CA
45506,93044,PORT HUENEME CBC BASE,CA
45507,93260,POSEY,CA
45508,93260,BALANCE ROCK,CA
45509,91335,RESEDA,CA
45510,91335,TARZANA,CA
45511,91335,ENCINO,CA
45512,91335,LOS ANGELES,CA
45513,91337,RESEDA,CA
45514,93261,RICHGROVE,CA
45515,93555,RIDGECREST,CA
45516,93555,CHINA LAKE,CA
45517,93555,CHINA LAKE NWC,CA
45518,93556,RIDGECREST,CA
45519,93560,ROSAMOND,CA
45520,93560,WILLOW SPGS,CA
45521,93560,WILLOW SPRINGS,CA
45522,93560,TROPICO VILLAGE,CA
45523,93450,SAN ARDO,CA
45524,91340,SAN FERNANDO,CA
45525,91341,SAN FERNANDO,CA
45526,91342,SYLMAR,CA
45527,91342,KAGEL CANYON,CA
45528,91342,LAKE VIEW TER,CA
45529,91342,LAKE VIEW TERRACE,CA
45530,91343,NORTH HILLS,CA
45531,91343,NORTHRIDGE,CA
45532,91343,SEPULVEDA,CA
45533,91344,GRANADA HILLS,CA
45534,91344,SAN FERNANDO,CA
45535,91345,MISSION HILLS,CA
45536,91345,SAN FERNANDO,CA
45537,91346,MISSION HILLS,CA
45538,91346,SAN FERNANDO,CA
45539,91392,SYLMAR,CA
45540,91393,NORTH HILLS,CA
45541,91393,SEPULVEDA,CA
45542,91394,GRANADA HILLS,CA
45543,91395,MISSION HILLS,CA
45544,93401,SAN LUIS OBISPO,CA
45545,93401,SN LUIS OBISP,CA
45546,93402,LOS OSOS,CA
45547,93402,SAN LUIS OBISPO,CA
45548,93402,SN LUIS OBISP,CA
45549,93402,BAYWOOD PARK,CA
45550,93403,SAN LUIS OBISPO,CA
45551,93403,SN LUIS OBISP,CA
45552,93405,SAN LUIS OBISPO,CA
45553,93405,SN LUIS OBISP,CA
45554,93406,SAN LUIS OBISPO,CA
45555,93406,SN LUIS OBISP,CA
45556,93407,SAN LUIS OBISPO,CA
45557,93407,CAL POLY SLO,CA
45558,93407,CAL POLY UNIVERSITY,CA
45559,93407,SN LUIS OBISP,CA
45560,93408,SAN LUIS OBISPO,CA
45561,93408,SN LUIS OBISP,CA
45562,93408,SLO COUNTY GOVT CTR,CA
45563,93409,SAN LUIS OBISPO,CA
45564,93409,SN LUIS OBISP,CA
45565,93409,CALIFORNIA MENS COLONY SLO,CA
45566,93410,SAN LUIS OBISPO,CA
45567,93410,SN LUIS OBISP,CA
45568,93410,CAL POLY SLO,CA
45569,93410,CAL POLY STUDENT DORMS,CA
45570,93412,LOS OSOS,CA
45571,93412,SAN LUIS OBISPO,CA
45572,93412,SN LUIS OBISP,CA
45573,93451,SAN MIGUEL,CA
45574,93451,PARKFIELD,CA
45575,93451,CAMP ROBERTS,CA
45576,93452,SAN SIMEON,CA
45577,93452,RAGGED POINT,CA
45578,93101,SANTA BARBARA,CA
45579,93102,SANTA BARBARA,CA
45580,93103,SANTA BARBARA,CA
45581,93105,SANTA BARBARA,CA
45582,93106,SANTA BARBARA,CA
45583,93106,UCSB,CA
45584,93106,UNIV OF CAL SANTA BARBARA,CA
45585,93106,UNIV OF CA SANTA BARBARA,CA
45586,93107,SANTA BARBARA,CA
45587,93107,UCSB STUDENT DORM BOXES,CA
45588,93108,SANTA BARBARA,CA
45589,93108,MONTECITO,CA
45590,93109,SANTA BARBARA,CA
45591,93110,SANTA BARBARA,CA
45592,93110,GOLETA,CA
45593,93111,SANTA BARBARA,CA
45594,93111,GOLETA,CA
45595,93116,GOLETA,CA
45596,93116,SANTA BARBARA,CA
45597,93117,GOLETA,CA
45598,93117,GAVIOTA,CA
45599,93117,ISLA VISTA,CA
45600,93117,SANTA BARBARA,CA
45601,93118,GOLETA,CA
45602,93118,SANTA BARBARA,CA
45603,93120,SANTA BARBARA,CA
45604,93121,SANTA BARBARA,CA
45605,93130,SANTA BARBARA,CA
45606,93140,SANTA BARBARA,CA
45607,93150,SANTA BARBARA,CA
45608,93150,MONTECITO,CA
45609,93160,SANTA BARBARA,CA
45610,93160,GOLETA,CA
45611,93190,SANTA BARBARA,CA
45612,93199,GOLETA,CA
45613,93199,SANTA BARBARA,CA
45614,93199,SANTA BARBARA P & D CTR,CA
45615,91310,CASTAIC,CA
45616,91310,SANTA CLARITA,CA
45617,91321,NEWHALL,CA
45618,91321,SANTA CLARITA,CA
45619,91321,FRIENDLY VALLEY,CA
45620,91322,NEWHALL,CA
45621,91322,SANTA CLARITA,CA
45622,91350,SANTA CLARITA,CA
45623,91350,AGUA DULCE,CA
45624,91350,SAUGUS,CA
45625,91350,BOUQUET CANYON,CA
45626,91350,GREEN VALLEY,CA
45627,91350,MINT CANYON,CA
45628,91350,SLEEPY VALLEY,CA
45629,91351,CANYON COUNTRY,CA
45630,91351,CANYON CNTRY,CA
45631,91351,SANTA CLARITA,CA
45632,91354,VALENCIA,CA
45633,91354,SANTA CLARITA,CA
45634,91355,VALENCIA,CA
45635,91355,SANTA CLARITA,CA
45636,91380,SANTA CLARITA,CA
45637,91380,VALENCIA,CA
45638,91381,STEVENSON RANCH,CA
45639,91381,NEWHALL,CA
45640,91381,SANTA CLARITA,CA
45641,91381,STEVENSON RNH,CA
45642,91381,VALENCIA,CA
45643,91382,SANTA CLARITA,CA
45644,91382,NEWHALL,CA
45645,91383,SANTA CLARITA,CA
45646,91384,CASTAIC,CA
45647,91384,SANTA CLARITA,CA
45648,91384,VAL VERDE,CA
45649,91385,VALENCIA,CA
45650,91385,SANTA CLARITA,CA
45651,91386,CANYON COUNTRY,CA
45652,91386,CANYON CNTRY,CA
45653,91386,SANTA CLARITA,CA
45654,91387,CANYON COUNTRY,CA
45655,91387,CANYON CNTRY,CA
45656,91387,SANTA CLARITA,CA
45657,91387,FAIR OAKS RANCH,CA
45658,91390,SANTA CLARITA,CA
45659,91390,AGUA DULCE,CA
45660,91390,CANYON CNTRY,CA
45661,91390,CANYON COUNTRY,CA
45662,91390,GREEN VALLEY,CA
45663,91390,MINT CANYON,CA
45664,91390,SAUGUS,CA
45665,91390,SLEEPY VALLEY,CA
45666,93453,SANTA MARGARITA,CA
45667,93453,SANTA MARGAR,CA
45668,93453,CALIFORNIA VALLEY,CA
45669,93453,POZO,CA
45670,93453,SN MARGARITA,CA
45671,93454,SANTA MARIA,CA
45672,93454,RANCHO SUEY,CA
45673,93454,GAREY,CA
45674,93454,SISQUOC,CA
45675,93455,SANTA MARIA,CA
45676,93455,ORCUTT,CA
45677,93456,SANTA MARIA,CA
45678,93457,SANTA MARIA,CA
45679,93457,ORCUTT,CA
45680,93458,SANTA MARIA,CA
45681,93060,SANTA PAULA,CA
45682,93061,SANTA PAULA,CA
45683,93460,SANTA YNEZ,CA
45684,93262,SEQUOIA NATIONAL PARK,CA
45685,93262,SEQ NATL PK,CA
45686,93263,SHAFTER,CA
45687,93263,BAKERSFIELD,CA
45688,93461,SHANDON,CA
45689,93461,CHOLAME,CA
45690,91024,SIERRA MADRE,CA
45691,91025,SIERRA MADRE,CA
45692,93062,SIMI VALLEY,CA
45693,93063,SIMI VALLEY,CA
45694,93063,SANTA SUSANA,CA
45695,93064,BRANDEIS,CA
45696,93064,SIMI VALLEY,CA
45697,93065,SIMI VALLEY,CA
45698,93094,SIMI VALLEY,CA
45699,93099,SIMI VALLEY,CA
45700,93099,FARMERS INS,CA
45701,93463,SOLVANG,CA
45702,93463,BALLARD,CA
45703,93464,SOLVANG,CA
45704,93066,SOMIS,CA
45705,91030,SOUTH PASADENA,CA
45706,91030,S PASADENA,CA
45707,91031,SOUTH PASADENA,CA
45708,91031,S PASADENA,CA
45709,93208,CAMP NELSON,CA
45710,93208,SPRINGVILLE,CA
45711,93265,SPRINGVILLE,CA
45712,93266,STRATFORD,CA
45713,93267,STRATHMORE,CA
45714,93067,SUMMERLAND,CA
45715,91040,SUNLAND,CA
45716,91040,SHADOW HILLS,CA
45717,91041,SUNLAND,CA
45718,91352,SUN VALLEY,CA
45719,91352,LA TUNA CANYON,CA
45720,91352,RANCHO LA TUNA CANYON,CA
45721,91352,SHADOW HILLS,CA
45722,91353,SUN VALLEY,CA
45723,93268,TAFT,CA
45724,91356,TARZANA,CA
45725,91357,TARZANA,CA
45726,93561,TEHACHAPI,CA
45727,93561,BEAR VALLEY SPRINGS,CA
45728,93561,BEAR VLY SPGS,CA
45729,93561,GOLDEN HILLS,CA
45730,93561,MONOLITH,CA
45731,93561,STALLION SPGS,CA
45732,93561,STALLION SPRINGS,CA
45733,93561,ALPINE FOREST,CA
45734,93561,CALIFORNIA CORRECTIONAL INST,CA
45735,93561,SAND CANYON,CA
45736,93581,TEHACHAPI,CA
45737,93465,TEMPLETON,CA
45738,93270,TERRA BELLA,CA
45739,91319,NEWBURY PARK,CA
45740,91319,THOUSAND OAKS,CA
45741,91320,NEWBURY PARK,CA
45742,91320,THOUSAND OAKS,CA
45743,91320,DOS VIENTOS RANCH,CA
45744,91358,THOUSAND OAKS,CA
45745,91359,WESTLAKE VILLAGE,CA
45746,91359,THOUSAND OAKS,CA
45747,91359,WESTLAKE VLG,CA
45748,91360,THOUSAND OAKS,CA
45749,91361,WESTLAKE VILLAGE,CA
45750,91361,HIDDEN VALLEY,CA
45751,91361,LAKE SHERWOOD,CA
45752,91361,THOUSAND OAKS,CA
45753,91361,WESTLAKE VLG,CA
45754,91362,THOUSAND OAKS,CA
45755,91362,WESTLAKE VILLAGE,CA
45756,91362,WESTLAKE VLG,CA
45757,93237,KAWEAH,CA
45758,93271,THREE RIVERS,CA
45759,93272,TIPTON,CA
45760,93562,TRONA,CA
45761,93562,ARGUS,CA
45762,93562,BALLARAT,CA
45763,93562,PIONEER POINT,CA
45764,93592,TRONA,CA
45765,91042,TUJUNGA,CA
45766,91043,TUJUNGA,CA
45767,93274,TULARE,CA
45768,93275,TULARE,CA
45769,93276,TUPMAN,CA
45770,91316,ENCINO,CA
45771,91316,VAN NUYS,CA
45772,91401,VAN NUYS,CA
45773,91401,SHERMAN OAKS,CA
45774,91401,VALLEY GLEN,CA
45775,91402,PANORAMA CITY,CA
45776,91402,VAN NUYS,CA
45777,91403,SHERMAN OAKS,CA
45778,91403,VAN NUYS,CA
45779,91404,VAN NUYS,CA
45780,91405,VAN NUYS,CA
45781,91405,VALLEY GLEN,CA
45782,91406,VAN NUYS,CA
45783,91406,LAKE BALBOA,CA
45784,91407,VAN NUYS,CA
45785,91408,VAN NUYS,CA
45786,91409,VAN NUYS,CA
45787,91410,VAN NUYS,CA
45788,91411,VAN NUYS,CA
45789,91411,SHERMAN OAKS,CA
45790,91412,PANORAMA CITY,CA
45791,91412,VAN NUYS,CA
45792,91413,SHERMAN OAKS,CA
45793,91413,VAN NUYS,CA
45794,91416,ENCINO,CA
45795,91416,VAN NUYS,CA
45796,91423,SHERMAN OAKS,CA
45797,91423,VAN NUYS,CA
45798,91426,ENCINO,CA
45799,91426,VAN NUYS,CA
45800,91436,ENCINO,CA
45801,91436,VAN NUYS,CA
45802,91470,VAN NUYS,CA
45803,91470,BLUE CROSS OF SO CALIF,CA
45804,91482,VAN NUYS,CA
45805,91482,DELUXE CHECK,CA
45806,91495,SHERMAN OAKS,CA
45807,91495,VAN NUYS,CA
45808,91495,U S PURCHASING EXCHANGE,CA
45809,91496,VAN NUYS,CA
45810,91496,U S PURCHASING CORP,CA
45811,91499,VAN NUYS,CA
45812,91499,BUSINESS REPLY,CA
45813,93001,VENTURA,CA
45814,93001,CASITAS SPRINGS,CA
45815,93001,LA CONCHITA,CA
45816,93001,SAN BUENAVENTURA,CA
45817,93002,VENTURA,CA
45818,93003,VENTURA,CA
45819,93003,SAN BUENAVENTURA,CA
45820,93004,VENTURA,CA
45821,93004,SAN BUENAVENTURA,CA
45822,93004,SATICOY,CA
45823,93005,VENTURA,CA
45824,93006,VENTURA,CA
45825,93007,VENTURA,CA
45826,93009,VENTURA,CA
45827,93009,VENTURA COUNTY GOV,CA
45828,91046,VERDUGO CITY,CA
45829,93277,VISALIA,CA
45830,93278,VISALIA,CA
45831,93279,VISALIA,CA
45832,93290,VISALIA,CA
45833,93291,VISALIA,CA
45834,93292,VISALIA,CA
45835,93280,WASCO,CA
45836,93283,WELDON,CA
45837,93285,WOFFORD HEIGHTS,CA
45838,93285,WOFFORD HTS,CA
45839,93286,WOODLAKE,CA
45840,93286,ELDERWOOD,CA
45841,91302,CALABASAS,CA
45842,91302,HIDDEN HILLS,CA
45843,91302,MONTE NIDO,CA
45844,91302,WOODLAND HILLS,CA
45845,91302,WOODLAND HLS,CA
45846,91364,WOODLAND HILLS,CA
45847,91364,WOODLAND HLS,CA
45848,91365,WOODLAND HILLS,CA
45849,91365,WOODLAND HLS,CA
45850,91367,WOODLAND HILLS,CA
45851,91367,WOODLAND HLS,CA
45852,91371,WOODLAND HILLS,CA
45853,91371,WOODLAND HLS,CA
45854,91371,PIERCE COLLEGE,CA
45855,91372,CALABASAS,CA
45856,91372,WOODLAND HILLS,CA
45857,91372,WOODLAND HLS,CA
45858,93287,WOODY,CA
45859,92301,ADELANTO,CA
45860,92301,EL MIRAGE,CA
45861,92536,AGUANGA,CA
45862,92536,HOLCOMB VILLAGE,CA
45863,91901,ALPINE,CA
45864,91903,ALPINE,CA
45865,92304,AMBOY,CA
45866,92304,CADIZ,CA
45867,92305,ANGELUS OAKS,CA
45868,92305,SEVEN OAKS,CA
45869,92539,ANZA,CA
45870,92307,APPLE VALLEY,CA
45871,92308,APPLE VALLEY,CA
45872,92308,JESS RANCH,CA
45873,92309,BAKER,CA
45874,92309,KELSO,CA
45875,92364,NIPTON,CA
45876,92364,BAKER,CA
45877,92366,MOUNTAIN PASS,CA
45878,92220,BANNING,CA
45879,92222,BARD,CA
45880,92310,FORT IRWIN,CA
45881,92310,BARSTOW,CA
45882,92311,BARSTOW,CA
45883,92311,HODGE,CA
45884,92312,BARSTOW,CA
45885,92223,BEAUMONT,CA
45886,92223,CHERRY VALLEY,CA
45887,92314,BIG BEAR CITY,CA
45888,92386,SUGARLOAF,CA
45889,92386,BIG BEAR CITY,CA
45890,92315,BIG BEAR LAKE,CA
45891,92315,BIG BEAR,CA
45892,92316,BLOOMINGTON,CA
45893,92316,CRESTMORE,CA
45894,92317,BLUE JAY,CA
45895,92225,BLYTHE,CA
45896,92225,RIPLEY,CA
45897,92225,MESA VERDE,CA
45898,92226,BLYTHE,CA
45899,92280,VIDAL,CA
45900,92280,BLYTHE,CA
45901,92280,VIDAL JUNCTION,CA
45902,91902,BONITA,CA
45903,91908,BONITA,CA
45904,92003,BONSALL,CA
45905,92004,BORREGO SPRINGS,CA
45906,92004,BORREGO SPGS,CA
45907,91905,BOULEVARD,CA
45908,92227,BRAWLEY,CA
45909,92318,BRYN MAWR,CA
45910,92230,CABAZON,CA
45911,92282,WHITEWATER,CA
45912,92282,CABAZON,CA
45913,92231,CALEXICO,CA
45914,92231,MOUNT SIGNAL,CA
45915,92232,CALEXICO,CA
45916,92320,CALIMESA,CA
45917,92233,CALIPATRIA,CA
45918,91906,CAMPO,CA
45919,92008,CARLSBAD,CA
45920,92009,CARLSBAD,CA
45921,92009,LA COSTA,CA
45922,92010,CARLSBAD,CA
45923,92011,CARLSBAD,CA
45924,92011,LA COSTA,CA
45925,92011,RANCHO LA COSTA,CA
45926,92013,CARLSBAD,CA
45927,92018,CARLSBAD,CA
45928,92234,CATHEDRAL CITY,CA
45929,92234,CATHEDRAL CTY,CA
45930,92235,CATHEDRAL CITY,CA
45931,92235,CATHEDRAL CTY,CA
45932,92321,CEDAR GLEN,CA
45933,91909,CHULA VISTA,CA
45934,91910,CHULA VISTA,CA
45935,91911,CHULA VISTA,CA
45936,91912,CHULA VISTA,CA
45937,91913,CHULA VISTA,CA
45938,91914,CHULA VISTA,CA
45939,91915,CHULA VISTA,CA
45940,91921,CHULA VISTA,CA
45941,92323,CIMA,CA
45942,92323,BAKER,CA
45943,92236,COACHELLA,CA
45944,92313,GRAND TERRACE,CA
45945,92313,COLTON,CA
45946,92324,COLTON,CA
45947,92324,GRAND TERRACE,CA
45948,92322,CEDARPINES PARK,CA
45949,92322,CEDARPINES PK,CA
45950,92322,CEDAR PINES PK,CA
45951,92325,CRESTLINE,CA
45952,92325,LAKE GREGORY,CA
45953,92325,VALLEY OF ENCHANTMENT,CA
45954,92326,CREST PARK,CA
45955,92327,DAGGETT,CA
45956,92328,DEATH VALLEY,CA
45957,92328,DEATH VALLEY JCT,CA
45958,92328,DEATH VALLEY JUNCTION,CA
45959,92328,STOVE PIPE WELLS,CA
45960,92014,DEL MAR,CA
45961,91916,DESCANSO,CA
45962,92239,DESERT CENTER,CA
45963,92239,EAGLE MOUNTAIN,CA
45964,92239,EAGLE MTN,CA
45965,92240,DESERT HOT SPRINGS,CA
45966,92240,DSRT HOT SPGS,CA
45967,92241,DESERT HOT SPRINGS,CA
45968,92241,DSRT HOT SPGS,CA
45969,92241,DESERT EDGE,CA
45970,92241,SKY VALLEY,CA
45971,91917,DULZURA,CA
45972,92242,EARP,CA
45973,92242,BIG RIVER,CA
45974,92019,EL CAJON,CA
45975,92020,EL CAJON,CA
45976,92021,EL CAJON,CA
45977,92021,BOSTONIA,CA
45978,92021,CREST,CA
45979,92022,EL CAJON,CA
45980,92243,EL CENTRO,CA
45981,92244,EL CENTRO,CA
45982,92007,CARDIFF BY THE SEA,CA
45983,92007,CARDIFF,CA
45984,92023,ENCINITAS,CA
45985,92024,ENCINITAS,CA
45986,92024,LEUCADIA,CA
45987,92024,OLIVENHAIN,CA
45988,92025,ESCONDIDO,CA
45989,92026,ESCONDIDO,CA
45990,92027,ESCONDIDO,CA
45991,92029,ESCONDIDO,CA
45992,92030,ESCONDIDO,CA
45993,92033,ESCONDIDO,CA
45994,92046,ESCONDIDO,CA
45995,92332,ESSEX,CA
45996,92332,GOFFS,CA
45997,92028,FALLBROOK,CA
45998,92028,RAINBOW,CA
45999,92088,FALLBROOK,CA
46000,92333,FAWNSKIN,CA
46001,92331,FONTANA,CA
46002,92334,FONTANA,CA
46003,92335,FONTANA,CA
46004,92336,FONTANA,CA
46005,92337,FONTANA,CA
46006,92339,FOREST FALLS,CA
46007,92339,FALLSVALE,CA
46008,92249,HEBER,CA
46009,92342,HELENDALE,CA
46010,92342,SILVER LAKES,CA
46011,92543,HEMET,CA
46012,92544,HEMET,CA
46013,92545,HEMET,CA
46014,92546,HEMET,CA
46015,92340,HESPERIA,CA
46016,92344,HESPERIA,CA
46017,92344,OAK HILLS,CA
46018,92345,HESPERIA,CA
46019,92346,HIGHLAND,CA
46020,92347,HINKLEY,CA
46021,92347,LOCKHART,CA
46022,92250,HOLTVILLE,CA
46023,92250,BONDS CORNER,CA
46024,92548,HOMELAND,CA
46025,92549,IDYLLWILD,CA
46026,92251,IMPERIAL,CA
46027,91932,IMPERIAL BEACH,CA
46028,91932,IMPERIAL BCH,CA
46029,91933,IMPERIAL BEACH,CA
46030,91933,IMPERIAL BCH,CA
46031,92201,INDIO,CA
46032,92201,CHIRIACO SMT,CA
46033,92201,CHIRIACO SUMMIT,CA
46034,92202,INDIO,CA
46035,92203,INDIO,CA
46036,92203,BERMUDA DUNES,CA
46037,91934,JACUMBA,CA
46038,91935,JAMUL,CA
46039,92252,JOSHUA TREE,CA
46040,92036,JULIAN,CA
46041,92037,LA JOLLA,CA
46042,92038,LA JOLLA,CA
46043,92039,LA JOLLA,CA
46044,92092,LA JOLLA,CA
46045,92092,UCSB,CA
46046,92092,UCSD,CA
46047,92093,LA JOLLA,CA
46048,92093,UCSB,CA
46049,92093,UCSD,CA
46050,92352,LAKE ARROWHEAD,CA
46051,92352,LK ARROWHEAD,CA
46052,92530,LAKE ELSINORE,CA
